"","2","6","10","19","80","91"
"1",2.25048379853494,1.82460703083929,0,4.26881158050826,0,0
"2",0,0,0,0,0,0
"3",2.18407050105891,0,0,0,0,0
"4",1.63480702334556,0,0,0,0,0
"5",4.67788268954332,4.30189336056887,2.09047318938161,4.04717443889522,0,0
"6",0,0,0,0,0,0
"7",3.30628503831712,2.67396767189051,2.41477955004756,3.54815414209902,0,0
"8",2.70751026880321,4.65326337583414,1.35797992930921,1.82930431975137,0,0
"9",1.50143004207507,1.97064850798405,4.35926153897189,3.91531847600297,0,0
"10",0,0,0,0,1.94971620971394,0
"11",0,0,2.63505343921449,0,0,0
"12",0,2.36181733141539,3.93906483578258,0,0,0
"13",0,0,2.21637399073044,0,0,0
"14",0,2.01132553109245,0,0,0,0
"15",0,0,3.89141185712513,0,0,0
"16",0,0,1.76869917855952,0,0,0
"17",0,0,4.18304931223515,0,0,0
"18",0,0,2.73966016360798,0,6.04712467380339,0
"19",0,0,0,0,0,0
"20",0,0,0,4.72870806690895,0,0
"21",0,0,0,0,0,0
"22",0,0,2.14390955820684,0,0,3.63856658012759
"23",0,0,0,1.30750045911412,0,0
"24",0,0,1.44251569370005,0,0,0
"25",0,0,0,3.94333472580692,0,0
"26",0,0,0,2.35819670880504,0,0
"27",0,4.10232681675815,0,3.34284321043713,0,0
"28",0,1.32225849187146,0,0,0,0
"29",0,0,1.67535983288045,0,0,0
"30",0,1.70606081621544,0,0,0,0
"31",0,0,0,4.86362696807465,0,0
"32",0,0,0,3.77730522637911,0,0
"33",0,0,0,4.49642427258452,0,0
"34",0,0,0,3.37879170717841,0,0
"35",0,0,3.11574333472408,0,0,0
"36",0,4.22509491996895,0,0,0,0
"37",1.06765023248564,2.59420789131566,0,0,0,0
"38",0,0,4.58211306812129,0,0,0
"39",0,0,1.69150421112636,0,0,0
"40",0,0,-1.22155354862542,2.42281588888411,1.32268871505541,0
"41",0,0,2.21456173193893,0,0,0
"42",0,0,2.45181559541489,0,0,0
"43",0,0,0,1.59469307243303,0,0
"44",0,0,3.60025899003192,0,0,0
"45",3.73732430360941,2.25588937485468,0,0,0,0
"46",0,0,2.16991401246586,0,0,0
"47",0,0,0,4.23998187772466,0,0
"48",0,0,0,2.31131645245643,3.72132841991507,0
"49",0,0,2.60560142999541,0,0,0
"50",0,0,3.84998349176124,0,0,0
"51",0,0,0.688929848432996,1.4337416714126,0,0
"52",0,0,2.11405339006061,0,0,0
"53",0,0,1.64201162395784,0,0,0
"54",4.88240161549214,2.90256654608873,2.63505318292519,1.47300241453593,0,0
"55",0,0,2.86618197652242,0,0,0
"56",0,0,2.1979128008251,0,0,0
"57",0,0,0,3.33763581488452,4.29148272959744,0
"58",0,1.58766322012109,0,0,0,0
"59",0,0,2.67361328096329,0,0,0
"60",0,1.83425443427814,0,0,0,0
"61",0,0,0,2.96977591877717,0,0
"62",0,0,3.72350914284667,0,0,0
"63",0,0.819316810179736,1.98572573381758,0,0,0
"64",0,0,0,2.71092074766474,3.81922931761418,0
"65",0,0,0,3.62729010942896,3.63501226565247,0
"66",0,0,3.467231849767,0,0,0
"67",0,0,0,-1.36041690719332,0,0
"68",0,1.86729882725954,0,0,0,0
"69",0,0,1.2162580433602,0,0,0
"70",0,0,1.025260645398,0,0,0
"71",0,0,4.2242606840397,0,0,0
"72",0,0,3.00307338588138,0,0,0
"73",0,3.00300255336902,0,0,2.35337071174384,0
"74",0,1.99351258835676,0,0,0,0
"75",0,0,0,0,0,0
"76",0,2.64441544850594,0,0,0,0
"77",0,0,0,1.43344349594814,4.39931389757237,0
"78",3.27698257091134,0,0,0,0,0
"79",0,0,4.60381219730545,2.95329882051687,0,0
"80",0,0,0,0,0,0
"81",0,0,0,0,4.02074418473515,0
"82",0,0,1.49590579832835,0,0,3.8219648144387
"83",0,1.38972723412598,0,0,0,0
"84",0,0,0,1.62537052309691,4.52436787698545,0
"85",0,0,3.5185203906049,0,0,0
"86",4.00376597247292,0,0,0,2.03875996568588,0
"87",0,0,0,0,3.91843212468239,0
"88",0,4.08290801940965,0,0,0,0
"89",3.41606797786535,0,0,0,0,0
"90",0,0,0,0,3.5059585347497,0
"91",0,0,0,0,0,0
"92",0,0,1.53680998455962,0,0,0
"93",0,0,0,0,2.92439407989646,0
"94",0,0,4.56813207670871,0,0,0
"95",0,0,0,0,1.95648403701739,0
"96",0,0,0,0,0,2.30312540661397
"97",0,0,2.52616613414316,0,0,0
"98",0,0,3.26437914322898,0,0,0
"99",0,0,0,0,0,0
"100",0,0,1.98078221568095,0,0,2.34139454839448
"102",0,0,0,0,0,0
"103",0,0,0,0,0,0
"104",0,0,0,0,0,0
"105",0,0,0,0,0,0
"105",0,0,0,0,0,0
"106",0,0,0,0,0,0
"107",0,0,0,0,0,0
"108",0,0,0,0,0,0
"109",0,0,0,0,0,0
"110",0,0,0,0,0,0
