Epoch: 1, Ep: 402, Epr: 0.7303, loss: 3032.906005859375 mse_loss: 13.369190216064453, kl_loss: 3014.1318359375, sparse_loss:5.404958724975586
Epoch: 2, Ep: 540, Epr: 0.981, loss: 3032.060546875 mse_loss: 13.149822235107422, kl_loss: 3013.486572265625, sparse_loss:5.424142837524414
Epoch: 4, Ep: 540, Epr: 0.981, loss: 3510.71875 mse_loss: 12.916974067687988, kl_loss: 3492.36474609375, sparse_loss:5.437071323394775
Epoch: 5, Ep: 540, Epr: 0.981, loss: 3507.604248046875 mse_loss: 12.03635025024414, kl_loss: 3490.137939453125, sparse_loss:5.429828643798828
Epoch: 7, Ep: 539, Epr: 0.9791833333333333, loss: 444.60089111328125 mse_loss: 10.698888778686523, kl_loss: 428.47747802734375, sparse_loss:5.424522399902344
Epoch: 8, Ep: 540, Epr: 0.981, loss: 443.76422119140625 mse_loss: 10.584565162658691, kl_loss: 427.7505187988281, sparse_loss:5.42915153503418
Epoch: 10, Ep: 540, Epr: 0.981, loss: 33.186866760253906 mse_loss: 9.552874565124512, kl_loss: 18.20061683654785, sparse_loss:5.433376789093018
Epoch: 11, Ep: 540, Epr: 0.981, loss: 33.106475830078125 mse_loss: 9.497993469238281, kl_loss: 18.17580795288086, sparse_loss:5.432672500610352
Epoch: 13, Ep: 540, Epr: 0.981, loss: 15.07376480102539 mse_loss: 8.472175598144531, kl_loss: 1.1696293354034424, sparse_loss:5.431960105895996
Epoch: 14, Ep: 540, Epr: 0.981, loss: 14.7978515625 mse_loss: 8.19499683380127, kl_loss: 1.1706819534301758, sparse_loss:5.4321722984313965
Epoch: 16, Ep: 540, Epr: 0.981, loss: 13.933507919311523 mse_loss: 7.6542463302612305, kl_loss: 0.8468735218048096, sparse_loss:5.4323883056640625
Epoch: 17, Ep: 540, Epr: 0.981, loss: 13.625970840454102 mse_loss: 7.3447370529174805, kl_loss: 0.8487603068351746, sparse_loss:5.432473659515381
Epoch: 19, Ep: 540, Epr: 0.981, loss: 12.573686599731445 mse_loss: 6.307065010070801, kl_loss: 0.8340619802474976, sparse_loss:5.432559013366699
Epoch: 20, Ep: 540, Epr: 0.981, loss: 12.172775268554688 mse_loss: 5.904356479644775, kl_loss: 0.8357830047607422, sparse_loss:5.432636260986328
Epoch: 22, Ep: 540, Epr: 0.981, loss: 11.574592590332031 mse_loss: 5.314767837524414, kl_loss: 0.8271301984786987, sparse_loss:5.432694911956787
Epoch: 23, Ep: 540, Epr: 0.981, loss: 11.575908660888672 mse_loss: 5.314748287200928, kl_loss: 0.828460156917572, sparse_loss:5.432700157165527
Epoch: 25, Ep: 540, Epr: 0.981, loss: 10.94568157196045 mse_loss: 4.693184852600098, kl_loss: 0.8197845220565796, sparse_loss:5.432712078094482
Epoch: 26, Ep: 540, Epr: 0.981, loss: 10.823457717895508 mse_loss: 4.570077419281006, kl_loss: 0.8207207918167114, sparse_loss:5.432659149169922
Epoch: 28, Ep: 540, Epr: 0.981, loss: 10.605514526367188 mse_loss: 4.361312389373779, kl_loss: 0.8115733861923218, sparse_loss:5.432629108428955
Epoch: 29, Ep: 540, Epr: 0.981, loss: 10.429040908813477 mse_loss: 4.184319972991943, kl_loss: 0.8121961355209351, sparse_loss:5.432525157928467
Epoch: 31, Ep: 540, Epr: 0.981, loss: 10.139802932739258 mse_loss: 3.904557943344116, kl_loss: 0.8028184175491333, sparse_loss:5.432426452636719
Epoch: 32, Ep: 540, Epr: 0.981, loss: 9.936552047729492 mse_loss: 3.7012526988983154, kl_loss: 0.8030477166175842, sparse_loss:5.432251930236816
Epoch: 34, Ep: 539, Epr: 0.9791833333333333, loss: 9.855015754699707 mse_loss: 3.6297333240509033, kl_loss: 0.7931938767433167, sparse_loss:5.432088375091553
Epoch: 35, Ep: 540, Epr: 0.981, loss: 9.567012786865234 mse_loss: 3.34220290184021, kl_loss: 0.7929739356040955, sparse_loss:5.431836128234863
Epoch: 37, Ep: 540, Epr: 0.981, loss: 9.390270233154297 mse_loss: 3.1759068965911865, kl_loss: 0.7827785611152649, sparse_loss:5.43158483505249
Epoch: 38, Ep: 539, Epr: 0.9791833333333333, loss: 9.588472366333008 mse_loss: 3.375046730041504, kl_loss: 0.7821435928344727, sparse_loss:5.4312825202941895
Epoch: 40, Ep: 539, Epr: 0.9791833333333333, loss: 9.251274108886719 mse_loss: 3.048379421234131, kl_loss: 0.7718288898468018, sparse_loss:5.431065559387207
Epoch: 41, Ep: 540, Epr: 0.981, loss: 9.278596878051758 mse_loss: 3.07674503326416, kl_loss: 0.7710574865341187, sparse_loss:5.4307942390441895
Epoch: 43, Ep: 540, Epr: 0.981, loss: 9.215070724487305 mse_loss: 3.0240190029144287, kl_loss: 0.7604734897613525, sparse_loss:5.430578708648682
Epoch: 44, Ep: 540, Epr: 0.981, loss: 9.14298152923584 mse_loss: 2.9533371925354004, kl_loss: 0.7593245506286621, sparse_loss:5.430319786071777
Epoch: 46, Ep: 540, Epr: 0.981, loss: 9.056499481201172 mse_loss: 2.8777191638946533, kl_loss: 0.7486485242843628, sparse_loss:5.430131435394287
Epoch: 47, Ep: 540, Epr: 0.981, loss: 9.218221664428711 mse_loss: 3.041027069091797, kl_loss: 0.7472754716873169, sparse_loss:5.429919242858887
Epoch: 49, Ep: 540, Epr: 0.981, loss: 9.153118133544922 mse_loss: 2.9866886138916016, kl_loss: 0.7366150617599487, sparse_loss:5.429813861846924
Epoch: 50, Ep: 540, Epr: 0.981, loss: 9.151430130004883 mse_loss: 2.9863059520721436, kl_loss: 0.7353709936141968, sparse_loss:5.429752826690674
Epoch: 52, Ep: 540, Epr: 0.981, loss: 9.082395553588867 mse_loss: 2.9277827739715576, kl_loss: 0.7248543500900269, sparse_loss:5.429758071899414
