Epoch: 0, Ep: 39, Epr: 1.2197530864197532, loss: 1.0840994957834482 mse_loss: 0.267770703881979, kl_loss: 0.03911854009493254, sparse_loss:0.7772102542221546
Epoch: 1, Ep: 38, Epr: 1.188477366255144, loss: 1.0322246123105288 mse_loss: 0.21635482599958777, kl_loss: 0.038805359916295856, sparse_loss:0.7770644295960665
Epoch: 2, Ep: 37, Epr: 1.157201646090535, loss: 1.014349875971675 mse_loss: 0.19934233161620796, kl_loss: 0.038651183611364104, sparse_loss:0.776356365531683
Epoch: 3, Ep: 37, Epr: 1.157201646090535, loss: 1.016004180535674 mse_loss: 0.20146905723959208, kl_loss: 0.038661076716380194, sparse_loss:0.7758740447461605
Epoch: 4, Ep: 38, Epr: 1.188477366255144, loss: 1.0025932416319847 mse_loss: 0.18860714859329164, kl_loss: 0.038624253298621625, sparse_loss:0.7753618471324444
Epoch: 5, Ep: 37, Epr: 1.157201646090535, loss: 0.9930941518396139 mse_loss: 0.17943801556248218, kl_loss: 0.038627706380793825, sparse_loss:0.775028433650732
Epoch: 6, Ep: 37, Epr: 1.157201646090535, loss: 0.9950088784098625 mse_loss: 0.18215907970443368, kl_loss: 0.038636690835119225, sparse_loss:0.7742131110280752
Epoch: 7, Ep: 37, Epr: 1.157201646090535, loss: 0.9987441003322601 mse_loss: 0.18628161773085594, kl_loss: 0.03867837233701721, sparse_loss:0.7737841121852398
Epoch: 8, Ep: 37, Epr: 1.157201646090535, loss: 0.9957047645002604 mse_loss: 0.18360711389686912, kl_loss: 0.038718133204383776, sparse_loss:0.7733795158565044
Epoch: 9, Ep: 37, Epr: 1.157201646090535, loss: 0.9924409706145525 mse_loss: 0.18081587785854936, kl_loss: 0.03872260358184576, sparse_loss:0.7729024887084961
Epoch: 10, Ep: 37, Epr: 1.157201646090535, loss: 0.9948489125818014 mse_loss: 0.18405406118836254, kl_loss: 0.03876676323125139, sparse_loss:0.7720280904322863
Epoch: 11, Ep: 36, Epr: 1.125925925925926, loss: 0.9863641485571861 mse_loss: 0.17574636556673795, kl_loss: 0.03880430271601654, sparse_loss:0.7718134801834822
Epoch: 12, Ep: 36, Epr: 1.125925925925926, loss: 0.9831039384007454 mse_loss: 0.1732757519930601, kl_loss: 0.03885978139442159, sparse_loss:0.7709684036672115
Epoch: 13, Ep: 36, Epr: 1.125925925925926, loss: 0.9866763930767775 mse_loss: 0.17717404884751886, kl_loss: 0.03884892782662064, sparse_loss:0.7706534173339605
Epoch: 14, Ep: 36, Epr: 1.125925925925926, loss: 0.9830084573477507 mse_loss: 0.17415330040967092, kl_loss: 0.03892059154168237, sparse_loss:0.7699345666915178
Epoch: 15, Ep: 36, Epr: 1.125925925925926, loss: 0.9815466962754726 mse_loss: 0.1731618100311607, kl_loss: 0.03894231573212892, sparse_loss:0.7694425694644451
Epoch: 16, Ep: 37, Epr: 1.157201646090535, loss: 0.9853378608822823 mse_loss: 0.17763612349517643, kl_loss: 0.03900001535657793, sparse_loss:0.7687017116695642
Epoch: 17, Ep: 37, Epr: 1.157201646090535, loss: 0.9897018224000931 mse_loss: 0.18268609594088048, kl_loss: 0.039044144621584564, sparse_loss:0.7679715771228075
Epoch: 18, Ep: 37, Epr: 1.157201646090535, loss: 0.9770775474607944 mse_loss: 0.1706573034171015, kl_loss: 0.03903265410190215, sparse_loss:0.7673875968903303
Epoch: 19, Ep: 37, Epr: 1.157201646090535, loss: 0.9817729257047176 mse_loss: 0.17588562285527587, kl_loss: 0.039110719997552224, sparse_loss:0.7667765859514475
Epoch: 20, Ep: 37, Epr: 1.157201646090535, loss: 0.9805585220456123 mse_loss: 0.17509554838761687, kl_loss: 0.03914205412729643, sparse_loss:0.7663209233433008
Epoch: 21, Ep: 37, Epr: 1.157201646090535, loss: 0.9850357584655285 mse_loss: 0.18007209606003016, kl_loss: 0.03915226648678072, sparse_loss:0.7658114079385996
Epoch: 22, Ep: 37, Epr: 1.157201646090535, loss: 0.9818253349512815 mse_loss: 0.17719565192237496, kl_loss: 0.03916665891301818, sparse_loss:0.765463013201952
Epoch: 23, Ep: 37, Epr: 1.157201646090535, loss: 0.9870657213032246 mse_loss: 0.18329471221659333, kl_loss: 0.03923365019727498, sparse_loss:0.7645373679697514
Epoch: 24, Ep: 37, Epr: 1.157201646090535, loss: 0.9781700391322374 mse_loss: 0.17490119754802436, kl_loss: 0.0392342637933325, sparse_loss:0.7640345711261034
Epoch: 25, Ep: 37, Epr: 1.157201646090535, loss: 0.9746810030192137 mse_loss: 0.17171845445409417, kl_loss: 0.039280874450923875, sparse_loss:0.7636816669255495
Epoch: 26, Ep: 36, Epr: 1.125925925925926, loss: 0.9758787173777819 mse_loss: 0.1734867092454806, kl_loss: 0.03929008901468478, sparse_loss:0.7631019130349159
Epoch: 27, Ep: 36, Epr: 1.125925925925926, loss: 0.9795574843883514 mse_loss: 0.1777429475914687, kl_loss: 0.039361748000374064, sparse_loss:0.7624527961015701
Epoch: 28, Ep: 36, Epr: 1.125925925925926, loss: 0.9769772123545408 mse_loss: 0.1758911011274904, kl_loss: 0.039389989455230534, sparse_loss:0.7616961095482111
Epoch: 29, Ep: 36, Epr: 1.125925925925926, loss: 0.9791868384927511 mse_loss: 0.17849009134806693, kl_loss: 0.03941512501478428, sparse_loss:0.7612816207110882
Epoch: 30, Ep: 36, Epr: 1.125925925925926, loss: 0.9861691985279322 mse_loss: 0.18601996987126768, kl_loss: 0.03942872348125093, sparse_loss:0.760720506310463
Epoch: 31, Ep: 36, Epr: 1.125925925925926, loss: 0.978103781118989 mse_loss: 0.17852908419445157, kl_loss: 0.0394908387970645, sparse_loss:0.760083869099617
Epoch: 32, Ep: 36, Epr: 1.125925925925926, loss: 0.9685799777507782 mse_loss: 0.16945761337410659, kl_loss: 0.03947382688784273, sparse_loss:0.759648535400629
Epoch: 33, Ep: 36, Epr: 1.125925925925926, loss: 0.9687125142663717 mse_loss: 0.1701469854451716, kl_loss: 0.03950910532512353, sparse_loss:0.7590564135462046
Epoch: 34, Ep: 36, Epr: 1.125925925925926, loss: 0.9766382593661547 mse_loss: 0.17848109638725873, kl_loss: 0.03954307200910989, sparse_loss:0.7586140912026167
Epoch: 35, Ep: 36, Epr: 1.125925925925926, loss: 0.9663101136684418 mse_loss: 0.1687369223072892, kl_loss: 0.039575072524712596, sparse_loss:0.7579981125891209
Epoch: 36, Ep: 36, Epr: 1.125925925925926, loss: 0.9712922535836697 mse_loss: 0.17419454222545028, kl_loss: 0.039578865602379665, sparse_loss:0.7575188502669334
Epoch: 37, Ep: 37, Epr: 1.157201646090535, loss: 0.9813562221825123 mse_loss: 0.18477982538752258, kl_loss: 0.0396249265759252, sparse_loss:0.7569514755159616
Epoch: 38, Ep: 37, Epr: 1.157201646090535, loss: 0.971915552392602 mse_loss: 0.1757996204541996, kl_loss: 0.03958314943884034, sparse_loss:0.7565327864140272
