Epoch: 0, Ep: 38, Epr: 1.188477366255144, loss: 1.0863747596740723 mse_loss: 0.25367331597954035, kl_loss: 0.05535799314384349, sparse_loss:0.7773434519767761
Epoch: 1, Ep: 38, Epr: 1.188477366255144, loss: 1.045531963929534 mse_loss: 0.21346577536314726, kl_loss: 0.05500692382338457, sparse_loss:0.7770592644810677
Epoch: 2, Ep: 37, Epr: 1.157201646090535, loss: 1.034161390736699 mse_loss: 0.20275258854962885, kl_loss: 0.05481383696314879, sparse_loss:0.7765949703752995
Epoch: 3, Ep: 37, Epr: 1.157201646090535, loss: 1.0315131191164255 mse_loss: 0.2010049361269921, kl_loss: 0.05475392719381489, sparse_loss:0.7757542449980974
Epoch: 4, Ep: 38, Epr: 1.188477366255144, loss: 1.0296879187226295 mse_loss: 0.19982705498114228, kl_loss: 0.05475468753138557, sparse_loss:0.7751061804592609
Epoch: 5, Ep: 38, Epr: 1.188477366255144, loss: 1.0270745065063238 mse_loss: 0.19789474457502365, kl_loss: 0.05473632412031293, sparse_loss:0.7744434382766485
Epoch: 6, Ep: 39, Epr: 1.2197530864197532, loss: 1.0239929053932428 mse_loss: 0.19556602160446346, kl_loss: 0.05477147706551477, sparse_loss:0.7736554071307182
Epoch: 7, Ep: 39, Epr: 1.2197530864197532, loss: 1.024553695693612 mse_loss: 0.1967903831973672, kl_loss: 0.05479549992014654, sparse_loss:0.7729678060859442
Epoch: 8, Ep: 39, Epr: 1.2197530864197532, loss: 1.0181600227952003 mse_loss: 0.19096285640262067, kl_loss: 0.05478415117249824, sparse_loss:0.7724130135029554
Epoch: 9, Ep: 39, Epr: 1.2197530864197532, loss: 1.0165928769856691 mse_loss: 0.1900922933127731, kl_loss: 0.05482055263928487, sparse_loss:0.7716800253838301
Epoch: 10, Ep: 39, Epr: 1.2197530864197532, loss: 1.0181147176772356 mse_loss: 0.192427194211632, kl_loss: 0.054855130321811885, sparse_loss:0.7708323877304792
Epoch: 11, Ep: 38, Epr: 1.188477366255144, loss: 1.0187640003859997 mse_loss: 0.1936911349184811, kl_loss: 0.05489435026538558, sparse_loss:0.7701785210520029
Epoch: 12, Ep: 38, Epr: 1.188477366255144, loss: 1.016559375450015 mse_loss: 0.19214241905137897, kl_loss: 0.05491087512928061, sparse_loss:0.7695060800760984
Epoch: 13, Ep: 38, Epr: 1.188477366255144, loss: 1.0153758469969034 mse_loss: 0.19163875235244632, kl_loss: 0.05493703664978966, sparse_loss:0.7688000611960888
Epoch: 14, Ep: 38, Epr: 1.188477366255144, loss: 1.0188571494072676 mse_loss: 0.19578031892888248, kl_loss: 0.05497527279658243, sparse_loss:0.768101554363966
Epoch: 15, Ep: 38, Epr: 1.188477366255144, loss: 1.0180338695645332 mse_loss: 0.19556722417473793, kl_loss: 0.05502109765075147, sparse_loss:0.7674455419182777
Epoch: 16, Ep: 38, Epr: 1.188477366255144, loss: 1.0182370878756046 mse_loss: 0.1963664700742811, kl_loss: 0.0550351309357211, sparse_loss:0.7668354902416468
Epoch: 17, Ep: 38, Epr: 1.188477366255144, loss: 1.0151775907725096 mse_loss: 0.19391984748654068, kl_loss: 0.05504349747207016, sparse_loss:0.7662142422050238
Epoch: 18, Ep: 38, Epr: 1.188477366255144, loss: 1.0130547396838665 mse_loss: 0.19247821299359202, kl_loss: 0.05511220888001844, sparse_loss:0.7654643226414919
Epoch: 19, Ep: 38, Epr: 1.188477366255144, loss: 1.0117399990558624 mse_loss: 0.19184463541023433, kl_loss: 0.055140118463896215, sparse_loss:0.7647552415728569
Epoch: 20, Ep: 38, Epr: 1.188477366255144, loss: 1.0150164254009724 mse_loss: 0.1958390639629215, kl_loss: 0.05520649009849876, sparse_loss:0.7639708667993546
Epoch: 21, Ep: 38, Epr: 1.188477366255144, loss: 1.010035328567028 mse_loss: 0.19144168845377862, kl_loss: 0.05517388434964232, sparse_loss:0.763419758528471
Epoch: 22, Ep: 38, Epr: 1.188477366255144, loss: 1.0105940476059914 mse_loss: 0.19255930255167186, kl_loss: 0.05521920247701928, sparse_loss:0.7628155387938023
Epoch: 23, Ep: 38, Epr: 1.188477366255144, loss: 1.0138516556471586 mse_loss: 0.1965000352356583, kl_loss: 0.05524226609850302, sparse_loss:0.7621093410998583
Epoch: 24, Ep: 38, Epr: 1.188477366255144, loss: 1.004968523979187 mse_loss: 0.188214159803465, kl_loss: 0.055259943546843715, sparse_loss:0.7614944186061621
