Epoch: 1, Ep: 59, Epr: 1.1061103396035854, loss: 4.4729487001895905 mse_loss: 3.1461771689355373, kl_loss: 0.4080616505816579, sparse_loss:0.9187098201364279
Epoch: 2, Ep: 61, Epr: 1.1436056053528594, loss: 3.2405631318688393 mse_loss: 1.9221457690000534, kl_loss: 0.39986356161534786, sparse_loss:0.9185538310557604
Epoch: 4, Ep: 62, Epr: 1.1623532382274964, loss: 31.340063631534576 mse_loss: 26.50931629911065, kl_loss: 4.045009981840849, sparse_loss:0.7857371419668198
Epoch: 5, Ep: 62, Epr: 1.1623532382274964, loss: 24.784023880958557 mse_loss: 20.7793527841568, kl_loss: 3.3150885086506605, sparse_loss:0.6895825192332268
Epoch: 7, Ep: 62, Epr: 1.1623532382274964, loss: 2.983848214149475 mse_loss: 2.1975075155496597, kl_loss: 0.12541438452899456, sparse_loss:0.6609263010323048
Epoch: 8, Ep: 63, Epr: 1.1811008711021336, loss: 2.9441755414009094 mse_loss: 2.157100059092045, kl_loss: 0.12545466888695955, sparse_loss:0.6616207677870989
Epoch: 10, Ep: 61, Epr: 1.1436056053528594, loss: 2.7883918955922127 mse_loss: 2.0317483991384506, kl_loss: 0.09489815216511488, sparse_loss:0.66174534894526
Epoch: 11, Ep: 58, Epr: 1.0873627067289484, loss: 2.7551254257559776 mse_loss: 1.9978378005325794, kl_loss: 0.09636225178837776, sparse_loss:0.660925367847085
Epoch: 13, Ep: 60, Epr: 1.1248579724782224, loss: 9.754555344581604 mse_loss: 1.8779782690107822, kl_loss: 7.184006057679653, sparse_loss:0.6925710272043943
Epoch: 14, Ep: 61, Epr: 1.1436056053528594, loss: 8.167614631354809 mse_loss: 1.9590051583945751, kl_loss: 5.467640712857246, sparse_loss:0.7409688271582127
Epoch: 16, Ep: 63, Epr: 1.1811008711021336, loss: 2.5270997136831284 mse_loss: 1.6906519010663033, kl_loss: 0.08060680236667395, sparse_loss:0.7558410093188286
Epoch: 17, Ep: 64, Epr: 1.1998485039767706, loss: 2.495502822101116 mse_loss: 1.6628003157675266, kl_loss: 0.08264580275863409, sparse_loss:0.7500567082315683
