1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
0.0,0.008715293,0.008823916,0.007150375,0.009355891,0.007863867,0.0088844085,0.009065997,0.008766186,0.008614665,0.008454687,0.0068064723,0.006911205,0.009016417,0.0085255485,0.009061312,0.008844288,0.008780483,0.007752148,0.007944164,0.0082381,0.0053850394,0.008671013,0.008949253,0.006936317,0.0032771481,0.008660461,0.006093453,0.009007821,0.0011736348,0.009122467,0.0020328648,0.008216952,0.009314752,0.0071402295,0.009300415,0.008643352,0.0063928785,0.008595962,0.00726058,0.0040084263,0.0002548918,4.08413e-06,0.008415188,0.0058861976,0.007557372,0.008919563,0.009418263,6.4885653e-06,0.008518462,0.00514433,0.008962939,0.00831977,0.008660816,0.008232942,0.008814955,0.007769126,0.008066376,0.008940749,0.0047848714,0.008847454,0.0078055826,0.0092699975,0.008822354,0.00840572,0.0077093244,0.00897295,0.0077478625,0.00063099473,0.007775997,0.006299951,0.0075927894,0.009159956,0.007061364,0.0066735735,0.007771989,0.009264274,0.008005314,0.0063473335,0.009417264,0.009290772,0.0062362878,0.009119655,0.008890302,0.008349672,0.008615328,0.009408722,0.0055965846,0.007679919,0.009201051,0.0019790144,0.009156705,0.008318395,0.008854385,0.0073435795,0.008160395,0.008022454,0.00810488,0.00879546,8.6605405e-06,0.0071219467,0.006599163,0.007582913,0.00933517,0.0071719172,0.0008626777,0.008941612,0.0073611694,0.012596557,0.0007737157
0.008565382,0.0,0.0090417275,0.007717329,0.009256897,0.007976225,0.009093343,0.008992747,0.008734222,0.008616095,0.008466111,0.0068698926,0.007092742,0.0090541495,0.00862319,0.00910333,0.008762884,0.008902413,0.007790241,0.0077976123,0.008206314,0.005391666,0.008641607,0.008924899,0.0069636456,0.0033529103,0.008515059,0.006148781,0.008927017,0.0015734697,0.009007943,0.0022576537,0.008039886,0.009037203,0.007261404,0.009232,0.008464905,0.0065808105,0.008533863,0.0072841616,0.0043513984,0.0005029124,8.150647e-06,0.008562919,0.0060303505,0.0075639114,0.008795347,0.009357221,3.5430073e-06,0.008529004,0.0051610647,0.00883972,0.0086180465,0.0086849565,0.0081673525,0.008847018,0.007826204,0.008118744,0.009013266,0.0050340095,0.008798736,0.007940989,0.009295412,0.008824761,0.008333196,0.0077735097,0.009011725,0.007863771,0.0010988724,0.007731963,0.0063196104,0.007593689,0.009207768,0.00741452,0.006494536,0.007881238,0.009283867,0.007978321,0.006457022,0.009401521,0.009333284,0.006321449,0.009132136,0.009207877,0.008389898,0.008792223,0.009424869,0.005773931,0.007826973,0.009196539,0.0022059001,0.009205574,0.0078004366,0.008856215,0.0075593875,0.00812145,0.008250037,0.0081871385,0.008798403,7.411363e-07,0.007352146,0.0066197445,0.0075762146,0.0092686,0.007350533,0.0011636006,0.008783168,0.007319594,0.012444558,0.0011884818
0.0107013285,0.011005311,0.0,0.009288104,0.012022221,0.0099,0.011089191,0.011906937,0.0109851565,0.011042939,0.010847677,0.008747317,0.00863079,0.011625847,0.0114049865,0.011558464,0.011125485,0.011242398,0.009721429,0.010989891,0.011516412,0.0073234113,0.010798558,0.011039534,0.0088716075,0.005984082,0.010825936,0.008274524,0.011156568,0.0036634663,0.011799214,0.004266851,0.011205564,0.011834214,0.009138887,0.011771566,0.010502988,0.010003736,0.011039598,0.009022627,0.0059948666,0.002678778,0.00024974605,0.0113534285,0.007813756,0.00951246,0.0114090685,0.0117858,0.00015289965,0.011001878,0.0070608435,0.011322462,0.0103109935,0.011804742,0.011111034,0.011378739,0.011247051,0.010012271,0.011419859,0.0067777494,0.010952315,0.00968817,0.011248729,0.01099789,0.010220313,0.010876777,0.011232586,0.009708647,0.003290618,0.009649094,0.009996617,0.010869348,0.011881516,0.008930491,0.008502537,0.009789675,0.012003879,0.01160881,0.009626283,0.011458525,0.0116259735,0.007812819,0.011335199,0.011354506,0.011159135,0.01090972,0.011832982,0.007890493,0.011687547,0.012112111,0.0044601695,0.0115204975,0.010429381,0.011134079,0.009301181,0.010089459,0.010281176,0.010161706,0.010896505,1.0127121e-05,0.009111777,0.008771781,0.0093642,0.011834482,0.00911074,0.003287275,0.01106044,0.009280855,0.015023346,0.003487601
0.0065679634,0.007288736,0.0069041257,0.0,0.006794406,0.0062718242,0.0074172146,0.0068229237,0.0069799144,0.00668721,0.00678959,0.0051727323,0.0065433704,0.007099394,0.0070414515,0.007144656,0.0073220567,0.0072168596,0.006034434,0.0063475184,0.006761691,0.004016208,0.006632902,0.0070691234,0.0054079,0.0015959154,0.0065050693,0.004421398,0.0073527982,0.00062708766,0.0075634387,0.0009484211,0.007042205,0.0072070714,0.0059055258,0.0067823636,0.006371021,0.005619244,0.006821056,0.0055514555,0.0039668125,7.664665e-06,9.474263e-06,0.00689278,0.004288722,0.0062057655,0.0068325954,0.0069869165,4.5547526e-06,0.006837604,0.003794485,0.0072072544,0.007116938,0.006747633,0.0065314327,0.0071461983,0.0060953316,0.006292656,0.0073239594,0.0038291041,0.0070926305,0.0064837188,0.0076325745,0.006796546,0.0062480476,0.00607234,0.007435345,0.0060561085,0.00041947397,0.0059933565,0.0054639666,0.0059452006,0.006866355,0.006538303,0.0049275733,0.0061602904,0.0074517224,0.005873328,0.005613895,0.0075496333,0.0074955476,0.0049344264,0.007123817,0.0074547795,0.0066219824,0.007082141,0.0076328665,0.0040714154,0.0058880867,0.00736584,0.0010191281,0.007328764,0.005145892,0.0069017187,0.005892481,0.006390858,0.0066358955,0.006811541,0.007130183,3.4003517e-06,0.0057396716,0.004872796,0.005766105,0.0071740253,0.006328217,0.00013240795,0.0068348087,0.005253977,0.012337463,3.7481805e-06
0.010514969,0.010806851,0.011392835,0.009132872,0.0,0.009785043,0.010923546,0.011794083,0.010901364,0.010792341,0.010603352,0.008722267,0.008228246,0.011483921,0.0110156825,0.011344369,0.0106996,0.010909678,0.009765852,0.010892853,0.011464425,0.0072767837,0.010709365,0.010984581,0.008795977,0.0058580525,0.010836512,0.008296527,0.010944618,0.0038652215,0.011782127,0.0042901086,0.01114805,0.011664981,0.008917891,0.011703911,0.010635805,0.009180268,0.010722276,0.009130688,0.0057534412,0.002787809,0.00024892442,0.011097921,0.007870401,0.009252312,0.011298465,0.011482672,0.00023811244,0.010626051,0.0070669986,0.0112348255,0.010076362,0.011566533,0.010622892,0.011132249,0.011169705,0.010082764,0.011150876,0.0068337857,0.010704374,0.009472863,0.01109058,0.010897239,0.010155299,0.010551876,0.010978715,0.009922779,0.003364724,0.009566051,0.009547973,0.01052739,0.011808163,0.0086635435,0.008394738,0.009799497,0.0117807975,0.0110361595,0.009385591,0.011445307,0.01149149,0.0077741444,0.01128914,0.011047091,0.0108123245,0.0105153695,0.011677801,0.0075819325,0.011239789,0.011858297,0.0045265527,0.011336679,0.010635582,0.011052297,0.009234988,0.010101146,0.009965631,0.009947595,0.010842858,5.301688e-06,0.009160299,0.008776011,0.009250648,0.011714469,0.009072002,0.0033607355,0.010902869,0.009551655,0.0147928195,0.0035020753
0.006407257,0.0068998765,0.0071011726,0.0055796285,0.0073896265,0.0,0.0070718452,0.0072934935,0.0069925287,0.006648132,0.006850039,0.005086344,0.0048843776,0.007234878,0.007320347,0.007269882,0.0072072526,0.0072021466,0.005846022,0.0073976414,0.0071222135,0.0039031145,0.00666921,0.0070684087,0.004839681,0.0010254172,0.0065846513,0.0049889777,0.0071211746,0.00066587,0.007796313,0.0004792803,0.0076146657,0.0077890134,0.0050777374,0.0074470686,0.006817744,0.0067945723,0.0067674145,0.0054184576,0.0021778652,8.40913e-06,7.815132e-06,0.0071455403,0.0046734475,0.0055760546,0.0075330897,0.007508412,9.248328e-06,0.007043126,0.0034979424,0.0072302227,0.006591985,0.007455552,0.007404941,0.0072471867,0.0071057496,0.0066681164,0.0072549297,0.0036461956,0.0069866297,0.005794909,0.0074338787,0.0067912233,0.006504633,0.006749573,0.0074050925,0.006729236,8.775653e-06,0.00575767,0.0064585027,0.0070256377,0.00745734,0.0054215835,0.004498962,0.0063382713,0.0076509146,0.006621367,0.006195914,0.0074816598,0.0073530674,0.0043104077,0.007319591,0.007125083,0.007372797,0.006748358,0.007551943,0.003820374,0.0066255485,0.007618698,0.0009695364,0.0071831862,0.007218697,0.0069930456,0.006003615,0.006400565,0.0058942246,0.0062085954,0.0070312256,3.9173347e-06,0.0053946613,0.0051378226,0.0060117794,0.007393354,0.005347594,9.592806e-06,0.0072661787,0.0065275123,0.012181915,9.858428e-05
0.008689376,0.009223007,0.009211275,0.0077539273,0.009541725,0.0082055405,0.0,0.009314041,0.009122327,0.009026062,0.008756722,0.0072411667,0.0074655763,0.009384648,0.008910082,0.009433358,0.009222742,0.009215246,0.008006893,0.008124565,0.008473901,0.0057856822,0.008894091,0.009288796,0.0073932116,0.003750589,0.008985455,0.006327895,0.009253246,0.0016688023,0.009106056,0.0026256908,0.008380404,0.009525958,0.0075441883,0.009587654,0.00865245,0.0066731456,0.008833164,0.007381452,0.004889716,0.00080980035,9.628994e-06,0.0089353165,0.006080037,0.007872927,0.008997032,0.009542732,5.181656e-06,0.008907147,0.005358474,0.00922091,0.008783817,0.009014122,0.008571143,0.009299445,0.008079968,0.008251017,0.009305499,0.0051443996,0.00912466,0.008118277,0.009449729,0.009104736,0.008638233,0.008082156,0.009372303,0.008029389,0.0014440721,0.008031429,0.006676471,0.008000891,0.009400588,0.007570635,0.006916379,0.008028969,0.009499696,0.008337738,0.006790898,0.009524169,0.009408183,0.0065789116,0.009273721,0.009363538,0.008776998,0.00894048,0.009729391,0.0058685783,0.008227042,0.009338272,0.0023821495,0.009499348,0.0081554195,0.009082198,0.0076867836,0.008364855,0.008459868,0.0085218735,0.009189042,1.0618023e-05,0.007504525,0.0068921535,0.0077196597,0.009560962,0.0076438314,0.0014907898,0.008974487,0.007339931,0.012438722,0.0012891275
0.011148349,0.011395905,0.012201995,0.009629707,0.012610572,0.010354744,0.011520874,0.0,0.011511535,0.0115723405,0.011523505,0.009408665,0.009021369,0.01216945,0.012208062,0.012183058,0.011529003,0.011672486,0.010286238,0.011883626,0.012300672,0.007971437,0.01133871,0.011510995,0.0094643645,0.00676975,0.011468957,0.008787285,0.0114768995,0.0044996925,0.012564182,0.005113354,0.012089431,0.01248065,0.009514362,0.012271935,0.011036139,0.010970508,0.0114971325,0.009497655,0.0064432235,0.0034968473,0.0011869597,0.012031387,0.008423185,0.009940724,0.012132464,0.012263207,0.0011145406,0.011690448,0.0077192155,0.011997121,0.010749043,0.012487916,0.011841189,0.011958095,0.012232657,0.010379871,0.011844956,0.0073989704,0.011312223,0.009958097,0.0118238805,0.011416648,0.010786338,0.0115519315,0.011691757,0.010382887,0.004138584,0.010230661,0.011010653,0.011645138,0.012594156,0.009286618,0.00913136,0.0104302475,0.012523283,0.012320957,0.010576621,0.0118775815,0.011944583,0.00832135,0.011834434,0.011637195,0.011890484,0.011191804,0.012219744,0.008365894,0.012491789,0.0127602555,0.005205528,0.011966283,0.011077518,0.011714135,0.009595772,0.01050754,0.010669888,0.01063394,0.011393339,8.024369e-06,0.0095299985,0.009177624,0.009834373,0.012348954,0.009449109,0.004087321,0.011341892,0.009993748,0.015846783,0.004262607
0.0097941905,0.009958214,0.010163567,0.008207844,0.010758066,0.008910376,0.010109344,0.01046734,0.0,0.00993622,0.010041057,0.008021518,0.008208867,0.010368143,0.010124038,0.010512285,0.0101590445,0.01025766,0.008963765,0.009636649,0.009965281,0.0064494256,0.009756613,0.010178719,0.008359001,0.004872235,0.009985062,0.007026337,0.010212371,0.0023851015,0.010476909,0.0032568835,0.009933912,0.0107092215,0.0084953625,0.010517692,0.009607062,0.008657112,0.009961748,0.008175606,0.005464161,0.0016954002,2.5841575e-06,0.010224771,0.006712225,0.008862862,0.010331379,0.010646719,3.3244803e-06,0.009946055,0.0060565374,0.010412804,0.0095901,0.010253199,0.0098398635,0.010384782,0.009446863,0.009000223,0.010482781,0.005764899,0.010144435,0.008945452,0.010493047,0.009965424,0.009502403,0.009630209,0.010333851,0.008785995,0.0021448822,0.008742833,0.00844889,0.009361258,0.010583336,0.008261633,0.0077881957,0.008857032,0.0105781285,0.009710006,0.008114565,0.010444406,0.010417892,0.0071928687,0.010243176,0.01026303,0.01005026,0.009649307,0.010618696,0.006723987,0.0095209135,0.010474591,0.0030272515,0.010554427,0.0091515165,0.0103653595,0.00826822,0.009019385,0.00948029,0.009493065,0.010242209,7.1548247e-06,0.00824927,0.0077825566,0.008469218,0.010525044,0.008375017,0.0020699273,0.009841927,0.008042109,0.013161496,0.0020883647
0.009551709,0.009737292,0.010071546,0.008166207,0.010315815,0.008624442,0.0098639345,0.010161193,0.009872213,0.0,0.0097250845,0.007848849,0.007984743,0.010074796,0.009793835,0.01024884,0.00996581,0.010117806,0.008679955,0.009198528,0.009435459,0.006300702,0.009592033,0.010007045,0.008155451,0.0046195765,0.009890172,0.006785482,0.010052742,0.001939405,0.010197841,0.0029139,0.009444243,0.010388043,0.008200962,0.01026362,0.009556042,0.008019033,0.009858906,0.007977152,0.005160467,0.0012694306,3.5451512e-06,0.009861013,0.0064644828,0.008636223,0.009993268,0.010273072,6.825141e-06,0.009727883,0.0057750726,0.010000912,0.009341528,0.00988334,0.009438441,0.010090772,0.008995347,0.008908842,0.010166742,0.0055139265,0.0097568175,0.008855712,0.010276599,0.0097258445,0.009153589,0.009151044,0.010243176,0.008484014,0.0015803257,0.008648942,0.007963904,0.008975472,0.010180778,0.008019834,0.007591685,0.008513726,0.010325406,0.009114715,0.0076078526,0.010245799,0.010266384,0.0069717774,0.010053639,0.00997409,0.009651332,0.009502785,0.01033044,0.0065328353,0.009012301,0.010212965,0.0027217502,0.010182019,0.009008106,0.010042244,0.008059378,0.00888617,0.009228782,0.009296398,0.009864576,1.0772164e-05,0.008030973,0.0074344934,0.008131339,0.01046743,0.008370311,0.001639319,0.009762217,0.0077478,0.013067507,0.0016087589
